TRAIN_NUMBER,COMMERCIAL_LINE_NUMBER_DESIGNATION,OPERATING_POINT_ABBREVIATION,OPERATION_TRAFFIC_CATEGORY_ABBREVIATION,EVENT_TYPE,EVENT_SERVED,PLAN_STOP_TYPE,PLAN_FORMATION_MAXIMAL_VELOCITY,OPERATION_DAY_PERIOD_IDENTIFIER_COARSE,OPERATION_PLANNED_TIMESTAMP,OPERATION_ACTUAL_TIMESTAMP,SIMULATED_TIMESTAMP,SIMULATED_DELAY,DAILY_PLAN_OPERATIONAL_DELAY_SEC,tre200s0,fkl010z1,fu3010z0,rre150z0,htoauts0,hto000d0,causes
6015,R13,NE,RV,departure,True,commercialStop,160,HVZ,2025-01-01 05:38:00,2025-01-01 05:38:00,2025-01-01 05:38:00.602424,0.6024239683320047,-34.0,0.575,3.2,7.2,0.0,,,
3321,IR65,BI,FV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:39:00,2025-01-01 05:39:00,2025-01-01 05:39:00.000000,0.0,5.0,0.575,3.2,7.2,0.0,,,
7107,R41,BI,RV,arrival,True,commercialStop,140,HVZ,2025-01-01 05:39:00,2025-01-01 05:41:00,2025-01-01 05:39:00.000000,0.0,98.0,0.575,3.2,7.2,0.0,,,
6015,R13,SBL,RV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:42:00,2025-01-01 05:41:00,2025-01-01 05:40:59.198090,-60.80191049791756,-16.0,0.575,3.2,7.2,0.0,,,
14207,S20,NE,RV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:41:00,2025-01-01 05:41:00,2025-01-01 05:41:00.000000,0.0,-15.0,0.575,3.2,7.2,0.0,,,
18161,RE56,BI,FV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:41:00,2025-01-01 05:40:00,2025-01-01 05:41:00.000000,0.0,-4.0,0.575,3.2,7.2,0.0,,,
7022,R21,NE,RV,departure,True,commercialStop,140,HVZ,2025-01-01 05:41:00,2025-01-01 05:41:00,2025-01-01 05:41:00.000000,0.0,-8.0,0.575,3.2,7.2,0.0,,,
6015,R13,SBL,RV,departure,True,commercialStop,160,HVZ,2025-01-01 05:42:00,2025-01-01 05:42:00,2025-01-01 05:42:07.352518,7.35251816867094,-5.0,0.575,3.2,7.2,0.0,,,total_delay=7s
1506,IC5,BI,FV,arrival,True,commercialStop,200,HVZ,2025-01-01 05:43:00,2025-01-01 05:43:00,2025-01-01 05:43:00.000000,0.0,32.0,0.575,3.2,7.2,0.0,,,
6015,R13,CORN,RV,arrival,True,commercialStop,160,HVZ,2025-01-01 05:46:00,2025-01-01 05:45:00,2025-01-01 05:45:37.896935,-22.1030651139954,-4.0,0.575,3.2,7.2,0.0,,,
